roll,pitch,thumb,pointer,middle,ax,ay,az,sign
-130.85,-6.39,254,59,25,1.13,-7.63,-6.60,fist
-138.95,-2.82,252,58,25,0.47,-6.25,-7.18,fist
-141.80,-3.59,252,62,26,0.58,-5.71,-7.25,fist
-130.00,-7.26,252,63,27,1.62,-9.76,-8.19,fist
-135.44,-0.83,252,63,28,0.15,-7.33,-7.44,fist
-137.74,-5.01,253,64,28,0.87,-6.65,-7.32,fist
-136.00,-4.54,253,65,29,0.79,-6.88,-7.12,fist
-133.72,-6.69,253,65,29,1.19,-7.34,-7.02,fist
-133.29,-8.63,253,64,29,1.55,-7.44,-7.01,fist
-135.63,-11.65,253,64,29,2.05,-6.94,-7.10,fist
-129.07,-9.03,253,63,20,1.66,-8.09,-6.57,fist
-133.20,-10.59,253,59,26,1.83,-7.13,-6.70,fist
-134.60,-1.58,253,58,25,0.25,-6.50,-6.41,fist
-121.19,-12.53,252,58,25,2.33,-8.96,-5.42,fist
-120.84,-13.18,254,61,25,2.47,-9.06,-5.41,fist
-113.09,-8.12,253,63,26,1.45,-9.34,-3.98,fist
-100.09,-25.33,253,63,26,4.49,-9.34,-1.66,fist
-111.05,-30.43,253,64,27,5.99,-9.51,-3.66,fist
-122.27,-30.20,253,64,27,4.70,-6.82,-4.31,fist
-137.07,3.08,253,65,28,-0.63,-7.95,-8.55,fist
-130.01,-10.94,253,65,28,1.98,-7.87,-6.60,fist
-117.48,-4.94,253,66,29,0.96,-9.91,-5.15,fist
-115.17,-6.62,254,67,30,0.95,-7.39,-3.47,fist
-113.14,-40.34,253,67,30,5.23,-5.66,-2.42,fist
-111.20,-40.88,253,68,31,5.55,-5.98,-2.32,fist
-98.22,-22.71,253,68,30,2.28,-5.38,-0.78,fist
-72.11,-23.56,253,68,30,3.60,-7.86,2.54,fist
-75.25,-10.83,255,71,29,2.27,-11.49,3.03,fist
-95.09,-0.05,252,67,30,0.02,-22.22,-1.98,fist
-80.52,17.76,253,68,31,-3.50,-10.77,1.80,fist
-78.94,0.84,253,70,32,-0.17,-11.09,2.17,fist
-79.46,17.71,253,71,33,-2.95,-9.09,1.69,fist
-88.69,10.83,253,71,34,-1.67,-8.71,0.20,fist
-86.36,-8.40,255,71,34,1.42,-9.58,0.61,fist
-72.52,9.47,253,71,35,-1.35,-7.73,2.43,fist
-64.73,8.03,253,71,35,-1.29,-8.26,3.90,fist
-66.65,7.78,253,71,36,-1.21,-8.14,3.51,fist
-68.89,3.18,253,71,36,-0.53,-8.92,3.44,fist
-70.58,0.71,255,72,36,-0.13,-10.19,3.59,fist
-68.14,-1.82,254,73,36,0.34,-9.80,3.93,fist
-66.75,-7.62,253,72,36,1.25,-8.62,3.70,fist
-80.34,-12.95,253,72,37,2.06,-8.82,1.50,fist
-101.07,-15.43,253,72,37,2.64,-9.38,-1.84,fist
